"Country","dim2","CostItem","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"AT000000","APPL","EFUL",,,,,,,196.845157,212.306942,205.80899,203.089121,183.770482,182.433516,185.65477,188.503905,175.493363,182.348787,179.268728,190.467529,185.155695,197.080399,203.223856,205.566223,226.286811,220.387638,224.284546,194.390452
"AT000000","APPL","EGAS",,,,,,,20.722755,20.674419,20.588974,34.752652,34.735452,20.611942,34.833696,34.876979,34.89511,34.896342,20.660895,34.962648,35.022182,20.708133,20.777877,11.062183,11.049746,11.090389,11.004599,10.976046
"AT000000","APPL","ELEC",,,,,,,2.796265,2.594777,2.190647,2.559518,2.283971,2.211777,2.147237,2.192869,2.195973,2.260018,2.744071,2.586679,2.246969,2.346709,2.250678,2.310478,2.14941,2.188145,2.170373,2.142649
"AT000000","APPL","ELUB",,,,,,,8.756841,10.012172,10.559518,12.76251,12.762861,13.868375,14.047073,14.136922,13.576498,13.90992,14.675577,14.435761,14.669779,12.485112,0.005403,7.810091,0.191373,0.413611,0.460421,0.45929
"AT000000","APPL","INPO",,,,,,,7378.868603,10432.871251,7162.882847,7333.809741,5644.268653,7253.379484,5841.886398,6185.951045,4353.962236,5630.558655,4046.069054,5583.601356,5264.611088,6488.796098,5616.364167,6453.012727,6192.544106,7179.301449,7036.87573,6857.537223
"AT000000","APPL","NITF",157.626246,156.13591,154.143024,152.329575,152.243519,151.699867,151.815068,153.723341,148.272483,148.962474,149.243608,150.103845,151.424761,152.782397,152.140761,151.674499,153.292735,151.873763,152.736311,149.332053,151.142933,155.284339,153.807882,149.783288,148.136713,130.750534
"AT000000","APPL","PHOF",45.639668,45.641473,45.208292,45.053968,45.028256,45.06117,45.0274,44.978145,44.413389,44.432076,44.469561,44.398067,44.372619,44.507064,44.53124,44.554133,44.364349,44.382718,44.488707,44.365858,44.776914,44.99352,44.440836,43.562914,42.704601,35.659236
"AT000000","APPL","PLAP",,,,,,,411.677294,424.695324,401.133085,367.307106,336.671298,335.034273,292.673155,313.14218,316.928111,332.859829,325.948502,324.380115,288.060418,381.163825,357.641973,360.7619,471.496049,497.587205,559.578803,482.872448
"AT000000","APPL","POTF",239.054432,238.757338,239.541519,235.43387,234.519431,233.962086,234.58674,231.170222,229.632959,229.408977,229.791352,229.198245,229.072666,229.567611,229.70244,230.126963,230.120984,230.229915,231.594642,231.006876,233.662527,234.623673,231.170539,229.549134,229.395075,190.182595
"AT000000","APPL","REPB",,,,,,,636.267445,692.47322,419.258409,488.667044,301.208676,352.13307,273.099772,315.293978,236.662838,254.18163,268.27048,282.474487,297.964804,280.128229,208.041277,218.740369,235.945246,281.209736,269.199173,256.445076
"AT000000","APPL","REPM",,,,,,,4429.02388,4673.084699,2707.224848,3085.315016,2216.979342,2023.749315,1505.884785,1652.545637,1198.797919,1482.641267,1177.555794,1340.218671,1339.453805,1554.863496,1253.286567,1431.738698,1332.848884,1463.291419,1399.902698,1273.211372
"AT000000","APPL","SEED",,,,,,,1145.657566,1174.027447,1078.103428,995.79621,846.389479,665.706013,671.126386,729.98972,631.894657,652.704857,510.712242,485.005198,588.415786,609.830077,571.858104,551.304647,702.220488,690.65116,692.823353,615.406636
