BL000000,"""Belgium and Luxembourg"""
DK000000,"""Denmark"""
DE000000,"""Germany"""
EL000000,"""Greece"""
ES000000,"""Spain"""
FR000000,"""France"""
IR000000,"""Irland"""
IT000000,"""Italy"""
NL000000,"""The Netherlands"""
AT000000,"""Austria"""
PT000000,"""Portugal"""
SE000000,"""Sweden"""
FI000000,"""Finland"""
UK000000,"""United Kingdom"""
CY000000,"""Cyprus"""
CZ000000,"""Czech Republic"""
EE000000,"""Estonia"""
HU000000,"""Hungary"""
LT000000,"""Lithuania"""
LV000000,"""Latvia"""
MT000000,"""Malta"""
PL000000,"""Poland"""
SI000000,"""Slovenia"""
SK000000,"""Slovak Republic"""
RO000000,"""Romania"""
BG000000,"""Bulgaria"""
